data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2022-03-30,33702,29241179.0,274,644693
2022-03-31,31487,28653413.0,422,620908
2022-04-01,29618,28082194.0,414,619772
2022-04-02,16819,28938690.0,273,631459
2022-04-03,7579,27133991.0,190,575277
2022-04-04,13187,29150327.0,329,639459
2022-04-05,27746,29262386.0,218,645072
2022-04-06,27181,29177465.0,201,642655
2022-04-07,26349,29273874.0,253,641742
2022-04-08,30332,28993319.0,311,640242
2022-04-09,23973,29395647.0,1226,645517
2022-04-10,9952,28575000.0,1180,608463
2022-04-11,8879,29380436.0,231,642878
2022-04-12,22414,28762576.0,333,628419
2022-04-13,26651,28526440.0,326,621866
2022-04-14,23311,29280888.0,299,638437
2022-04-15,13460,29390132.0,272,640504
2022-04-16,2800,28581329.0,32,604247
2022-04-17,2600,29741665.0,25,652222
2022-04-18,144593,28677009.0,1770,619345
2022-04-19,14089,29281523.0,124,640137
2022-04-20,37320,29123971.0,276,636584
2022-04-21,19108,29571644.0,94,644728
2022-04-22,8065,29451964.0,55,643368
2022-04-23,7202,29626991.0,213,645815
2022-04-24,3762,28254677.0,36,591910
2022-04-25,6232,29626716.0,236,644459
2022-04-26,21842,29435097.0,150,640992
2022-04-27,21087,29667612.0,249,647550
2022-04-28,19623,29413608.0,282,643197
2022-04-29,13607,29653516.0,347,642522
2022-04-30,13760,29574436.0,250,640765
2022-05-01,6291,28664694.0,16,606157
2022-05-02,6452,28731430.0,248,605374
2022-05-03,20251,29609048.0,93,644247
2022-05-04,19920,29474463.0,72,639055
2022-05-05,20940,29838255.0,139,645684
2022-05-06,19819,29278833.0,193,632380
2022-05-07,13831,29763937.0,38,645190
2022-05-08,6226,29845992.0,13,646965
2022-05-09,9958,30183582.0,54,657157
2022-05-10,19987,29332456.0,197,633339
2022-05-11,23526,29909355.0,136,649696
2022-05-12,24978,29483055.0,299,633553
2022-05-13,29578,29974042.0,306,647841
2022-05-14,16981,30065515.0,98,652559
2022-05-15,6308,29947825.0,48,645121
2022-05-16,13223,30072563.0,236,652250
2022-05-17,26326,29756617.0,395,637720
2022-05-18,13645,29958424.0,107,644954
2022-05-19,10396,30147064.0,276,651537
2022-05-20,10110,30114180.0,225,649990
2022-05-21,16170,30454828.0,39,658092
2022-05-22,12753,29782855.0,100,635768
2022-05-23,12854,30285637.0,203,655072
2022-05-24,32672,29930600.0,407,638990
2022-05-25,33139,30089544.0,147,643694
2022-05-26,169474,29962022.0,2039,644146
2022-05-27,38648,29771239.0,312,633717
2022-05-28,23655,30263250.0,86,652135
2022-05-29,8225,30648511.0,62,659358
2022-05-30,24412,30390490.0,226,655987
2022-05-31,40765,30292490.0,326,648112
2022-06-01,40849,30528227.0,133,656871
2022-06-02,40871,30562787.0,298,655789
2022-06-03,34892,30369991.0,211,648602
2022-06-04,15530,30941883.0,26,662253
2022-06-05,6179,30671435.0,17,657096
2022-06-06,35829,30952315.0,37,662626
2022-06-07,70589,30630333.0,479,656038
2022-06-08,49238,30650271.0,463,648065
2022-06-09,44620,30769859.0,144,652028
2022-06-10,56058,31074921.0,175,661485
2022-06-11,27579,31198972.0,114,663244
2022-06-12,11732,31234510.0,38,664006
2022-06-13,41218,31223722.0,72,662398
2022-06-14,44205,31043425.0,179,658507
2022-06-15,69908,31136789.0,347,659919
2022-06-16,33222,31191713.0,316,659516
2022-06-17,28693,31279209.0,72,660634
2022-06-18,20112,31447903.0,94,663186
2022-06-19,10695,31549260.0,56,664939
2022-06-20,51374,31250907.0,262,654841
2022-06-21,63904,31399853.0,393,660981
2022-06-22,71313,31438435.0,142,658917
2022-06-23,71407,31385547.0,530,656958
2022-06-24,60358,31755367.0,336,663239
2022-06-25,38725,31867361.0,141,666326
2022-06-26,16655,31926557.0,36,667043
2022-06-27,51533,31402982.0,132,654533
2022-06-28,75303,31741811.0,327,656736
2022-06-29,75775,31985912.0,440,665462
